"country_name","energy_use_percapita","gni_per_capita","birth_rate","death_rate","fertility_rate","life_expectancy","infant_mortality_rate","urban_pop_pct","birthCat","deathCat","gni_hi_ind"
"Central African Republic",NA,380,35.941,17.911,4.903,45.48253659,110.2,38.3798,"High","High",0
"Chad",NA,500,46.181,17.181,6.249,48.36858537,100,21.6718,"High","High",0
"Channel Islands",NA,67960,9.342,9.159,1.421,79.3007561,31.53881752,30.8206,"Low","High",1
"Chile",1715.370606,8650,14.747,5.275,1.904,78.53426829,7.8,88.1506,"Low","Low",1
"China",1490.260435,2480,12.1,6.93,1.643,72.61258537,17.4,45.2036,"Low","Low",0
"Colombia",664.189773,4070,20.693,5.481,2.454,72.75378049,17.1,74.1566,"Low","Low",0
"Comoros",60.41833063,640,39.239,9.506,5.112,59.53,63.7,27.913,"High","High",0
"Congo, Dem. Rep.",353.0588135,140,45.35,17.223,6.152,47.34929268,115,32.1862,"High","High",0
"Congo, Rep.",334.4440537,1400,36.16,11.825,4.665,55.77041463,65.7,61.882,"High","High",0
"Costa Rica",1118.452152,5560,16.579,4.073,1.954,78.82141463,9,62.698,"Low","Low",1
"Cote d'Ivoire",548.7778195,950,35.236,13.179,4.691,52.72587805,85.9,48.3244,"High","High",0
"Croatia",2102.60505,12140,9.4,11.798,1.4,75.70560976,5.2,56.8584,"Low","High",1
"Cuba",913.7447868,4990,10.714,7.073,1.52,78.2852439,5,75.446,"Low","Low",0
"Cyprus",2292.581468,24240,11.81,6.793,1.503,78.85790244,3.4,69.7908,"Low","Low",1
"Czech Republic",4429.780069,14910,11.1,10.1,1.44,76.72439024,3.9,73.6044,"Low","High",1
"Denmark",3617.744997,54700,11.7,10.2,1.84,78.19512195,3.8,86.2316,"Low","High",1
"Djibouti",170.3490249,1100,29.536,10.566,4.005,56.35653659,76.1,76.8562,"High","High",0
"Dominica",628.3426367,5920,22.19499078,8.722886224,2.905202126,68.58510473,11.4,66.964,"High","High",1
"Dominican Republic",873.1261187,4150,22.842,5.927,2.686,72.50446341,24.2,67.0378,"High","Low",0
"East Asia & Pacific (all income levels)",1624.156106,5492.928015,13.88554768,6.950181419,1.80986312,72.54469435,20.27900906,48.59843996,"Low","Low",1
"East Asia & Pacific (developing only)",1289.692787,2240.989054,14.41747848,6.908757823,1.851277871,71.4674497,21.5,44.29110373,"Low","Low",0
"Ecuador",821.9111417,3030,21.775,4.946,2.599,75.00495122,22.5,64.9094,"Low","Low",0
"Egypt, Arab Rep.",874.0999599,1560,24.014,5.197,2.877,72.19221951,23.2,43.1662,"High","Low",0
"El Salvador",824.2761522,3190,20.606,6.482,2.349,71.10417073,17.3,62.7008,"Low","Low",0
"Equatorial Guinea",2731.637927,9690,37.391,15.263,5.393,49.95263415,85.9,39.0598,"High","High",1
"Eritrea",150.17648,260,37.703,8.375,4.732,59.63921951,51.7,19.793,"High","High",0
"Estonia",4191.668306,13380,11.8,13,1.63,72.81463415,4.6,69.4394,"Low","High",1
"Ethiopia",395.0601888,230,33.879,10.714,4.703,56.72392683,62.1,16.1228,"High","High",0
"Euro area",3763.480047,35819.76629,10.36160679,9.211721085,1.538482385,80.14778744,3.88083062,74.45041648,"Low","High",1
"Europe & Central Asia (all income levels)",3366.083752,21595.70487,12.29287775,10.33627376,1.653746649,74.84161012,13.05281306,69.40275489,"Low","High",1
"Europe & Central Asia (developing only)",3017.580536,5705.189752,14.20156075,11.43107281,1.743301194,69.36029001,21,63.87513052,"Low","High",1
"European Union",3535.817445,32300.57977,10.64724086,9.659532948,1.551894382,78.91675677,4.836358833,73.10478741,"Low","High",1
"Fiji",627.3443103,3820,22.565,6.492,2.774,68.83163415,15.8,50.6574,"High","Low",0
